Datetime,Tweet Id,Text,Topic
1/16/2021 19:12,1.35052E+18,"RT @AOC: Hey Sen @HawleyMO, I hate to break it to you, but this is, in fact, you.

You raised your fist in solidarity with white supremacis…",AOC
1/16/2021 19:12,1.35052E+18,Tbh I'm more interested in Ivanka vs AOC now that I'm thinking about it but do you think they'd have a serious deba… https://t.co/A0c2BwMkYS,AOC
1/16/2021 19:12,1.35052E+18,RT @LingleVan: @natemax @AOC https://t.co/YPnYhYPsXf,AOC
1/16/2021 19:12,1.35052E+18,@AOC Abolish term limits.,AOC
1/16/2021 19:12,1.35052E+18,"@BernieSanders
@AOC
@IlhanMN
@AyannaPressley
@RashidaTlaib
@SpeakerPelosi
@chuckschumer

Just a few people in Congr… https://t.co/Qem9vZKGgg",AOC
1/16/2021 19:12,1.35052E+18,Found out what @AOC's boyfriend looks like.. Don't text.,AOC
1/16/2021 19:12,1.35052E+18,@EstPC13 @tCorn04 @philthatremains It's more about Antifa than AOC.,AOC
1/16/2021 19:12,1.35052E+18,@Pierre39839349 @ChandlerRosenz1 @AOC It doesn’t matter what you feel they deserve. 8% of death row inmates have be… https://t.co/gayLAmvSxs,AOC
1/16/2021 19:12,1.35052E+18,"RT @OnlineGamingXp: @AOC 𝗖𝗼𝗻𝘀𝗽𝗶𝗿𝗮𝗰𝘆 𝘁𝗵𝗲𝗼𝗿𝘆 𝗶𝘀 𝗷𝘂𝘀𝘁 𝗿𝗲𝗰𝘆𝗰𝗹𝗲𝗱 𝗿𝗲𝗹𝗶𝗴𝗶𝗼𝘂𝘀 𝗺𝗶𝗻𝗱𝘀𝗲𝘁
Leverage on gullibility, that's it https://t.co/Fk2yO3jfwV",AOC
1/16/2021 19:12,1.35052E+18,RT @VonMornings: Me taking the AOC white supremacist deprogramming class to stare at her big titties: https://t.co/KVOpw4XRgu,AOC
1/16/2021 19:12,1.35052E+18,"@GuildSoveriegn @AOC Tours were stopped during covid.  Which REPUBLICAN gave tours to the terrorist ?
They are a traitor .",AOC
1/16/2021 19:12,1.35052E+18,@Boltisbad_ Get an aoc one,AOC
1/16/2021 19:12,1.35052E+18,@AOC Read about Orlando Hall. And to the racist jury argument: The girl he repeatedly raped &amp; buried alive was Blac… https://t.co/DqIGhdkjXa,AOC
1/16/2021 19:12,1.35052E+18,"“Did you tweet ‘AOC in my DMs, but she’s too busted for me’ on January 17, 2021?”
-the judge at my live aired on Hulu trial in Guantanamo 2",AOC
1/16/2021 19:12,1.35052E+18,@Dilzylla @SloneKandy @Quality_JWC @PhotoMojoEye @AOC what?? you have gone so far from the original topic.,AOC
1/16/2021 19:12,1.35052E+18,"https://t.co/ZTZANfuH8j like #AOC said, they basically put up fake ads and lied. Shouldn’t be legal",AOC
1/16/2021 19:12,1.35052E+18,"RT @AOC: Hey Sen @HawleyMO, I hate to break it to you, but this is, in fact, you.

You raised your fist in solidarity with white supremacis…",AOC
1/16/2021 19:12,1.35052E+18,"RT @davenewworld_2: @AOC @HawleyMO No Hawley, no KKK, no fascist USA",AOC
1/16/2021 19:12,1.35052E+18,@bigbacon20 @SloneKandy @Quality_JWC @PhotoMojoEye @AOC And she can’t have the abortion if the laws say she can’t (… https://t.co/EKCS2nU3wD,AOC
1/16/2021 19:12,1.35052E+18,"This fits @AOC, @SpeakerPelosi, @JoeBiden, @SenSchumer, and all the rest of the swamp to a ""T""!!! https://t.co/Im5eaTSaQc",AOC
1/16/2021 19:12,1.35052E+18,"RT @AOC: Hey Sen @HawleyMO, I hate to break it to you, but this is, in fact, you.

You raised your fist in solidarity with white supremacis…",AOC
1/16/2021 19:12,1.35052E+18,@AOC Let’s keep it around a bit for seditionists. #CapitolBuilding,AOC
1/16/2021 19:12,1.35052E+18,"RT @davidmweissman: Question for @AOC and @IlhanMN, by any chance, was it @laurenboebert or @mtgreenee who organized the tours of the #Capi…",AOC
1/16/2021 19:12,1.35052E+18,@tomselliott @AOC @tedcruz @HawleyMO IDIOT,AOC
1/16/2021 19:12,1.35052E+18,@cuchalain @helenprejean @AOC Some committed crimes while very young and imo have changed. Others it's hard for me… https://t.co/9nbuHtpvvV,AOC
1/16/2021 19:12,1.35052E+18,"RT @hunterw: .@AOC ""We should say in no uncertain terms that the goal of this insurrection was to overthrow and have a coup against the Uni…",AOC
1/16/2021 19:12,1.35052E+18,@CarlsbadCharlie @robertcecil1608 @markwh2001 @Europhile123 @David19531501 @viv_cooper @dw2essex @VeuveK… https://t.co/Qy68fzSF1P,AOC
1/16/2021 19:12,1.35052E+18,"RT @davidmweissman: Question for @AOC and @IlhanMN, by any chance, was it @laurenboebert or @mtgreenee who organized the tours of the #Capi…",AOC
1/16/2021 19:12,1.35052E+18,"@rscook @JanetGraceMusic @AOC I thought he was Captain Canuck, Canadian bear. @CAFinUS shout out to you great folks. https://t.co/76p70lyY2N",AOC
1/16/2021 19:12,1.35052E+18,"@AOC Why, they're on death row cos they've committed a crime.",AOC
1/16/2021 19:12,1.35052E+18,"RT @hunterw: .@AOC also stressed that prosecutors have said ""the determined intent was to capture and potentially assassinate members of Co…",AOC
1/16/2021 19:12,1.35052E+18,@SPatrickChase @AOC @laurenboebert @mattgaetz @HawleyMO @tedcruz It's not a race issue!  It's a rich/poor issue.  I… https://t.co/E7lYcqXaLK,AOC
1/16/2021 19:12,1.35052E+18,RT @SteveBrant: @betsy_klein @abdallahcnn Special meeting at White House taking place now! What is Trump planning? @TimothyDSnyder @JYSexto…,AOC
1/16/2021 19:12,1.35052E+18,"@AOC When you're worried 400,000 isn't enough for the all time record ☠️",AOC
1/16/2021 19:12,1.35052E+18,@SocLibBidenism @katjadelynn @Crystal74233523 @JoshuaH6X7is42 @AOC The sad part is that when asked all of them clai… https://t.co/fqMzLFBw1j,AOC
1/16/2021 19:12,1.35052E+18,RT @someknew: @AOC “[the other day] legions of our dimmest and mayonnaisiest citizens stormed our capitol in DC and they got all the way in…,AOC
1/16/2021 19:12,1.35052E+18,@KathyGr38011147 @Apricot04533076 @AOC Um. They killed a cop.,AOC
1/16/2021 19:12,1.35052E+18,RT @SteveBrant: @betsy_klein @abdallahcnn Special meeting at White House taking place now! What is Trump planning? @TimothyDSnyder @JYSexto…,AOC
1/16/2021 19:12,1.35052E+18,"RT @AOC: Hey Sen @HawleyMO, I hate to break it to you, but this is, in fact, you.

You raised your fist in solidarity with white supremacis…",AOC
